ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados,Minutos Totales
343340,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '29 May, 2015'}",0.0,2,199,0,29/05/2015 00:00,3237,554
343390,Casual,"Single-player, Steam Trading Cards, Family Sharing","{'date': '16 Apr, 2015'}",0.0,1,199,0,16/04/2015 00:00,3280,176
240620,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '10 Aug, 2015'}",1.0,2,999,0,10/08/2015 00:00,3164,1327
342490,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '13 Feb, 2015'}",0.0,1,0,0,13/02/2015 00:00,3342,56
343930,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '22 May, 2015'}",0.0,4,899,0,22/05/2015 00:00,3244,860
340250,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Family Sharing","{'date': '11 Aug, 2015'}",0.0,1,799,0,11/08/2015 00:00,3163,397
344440,"Adventure, Casual","Single-player, Steam Trading Cards, Family Sharing","{'date': '2 Jul, 2015'}",0.0,3,299,0,02/07/2015 00:00,3203,1043
344500,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '20 Mar, 2015'}",0.0,1,499,0,20/03/2015 00:00,3307,56
344630,Adventure,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '27 Mar, 2015'}",0.0,2,3499,0,27/03/2015 00:00,3300,242
344840,"Indie, Simulation, Strategy","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing","{'date': '16 Apr, 2015'}",1.0,2,999,0,16/04/2015 00:00,3280,569
344880,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '13 Mar, 2015'}",1.0,2,0,0,13/03/2015 00:00,3314,119
345090,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '3 Feb, 2015'}",0.0,2,499,0,03/02/2015 00:00,3352,89
345340,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'date': '29 Apr, 2015'}",0.0,1,599,0,29/04/2015 00:00,3267,107
345750,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '18 Feb, 2015'}",0.0,2,499,0,18/02/2015 00:00,3337,482
345640,"Adventure, RPG","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '24 Feb, 2015'}",1.0,1,499,0,24/02/2015 00:00,3331,184
346090,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '17 Sep, 2015'}",0.0,1,1199,0,17/09/2015 00:00,3126,104
346140,"Adventure, Casual","Single-player, Steam Trading Cards, Family Sharing","{'date': '26 Feb, 2015'}",0.0,1,999,0,26/02/2015 00:00,3329,56
346180,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Family Sharing","{'date': '16 Feb, 2015'}",0.0,2,59,0,16/02/2015 00:00,3339,107
346200,"Adventure, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '4 Feb, 2015'}",0.0,1,499,0,04/02/2015 00:00,3351,35
346340,"Action, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '20 May, 2015'}",0.0,1,499,0,20/05/2015 00:00,3246,35
343810,"Adventure, Indie","Single-player, Family Sharing","{'date': '26 Jan, 2015'}",0.0,1,209,0,26/01/2015 00:00,3360,35
343830,"Adventure, Indie","Single-player, Family Sharing","{'date': '26 Jan, 2015'}",0.0,1,209,0,26/01/2015 00:00,3360,35
346430,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '24 Jul, 2015'}",0.0,1,999,0,24/07/2015 00:00,3181,205
342020,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'date': '9 Jun, 2015'}",0.0,4,999,0,09/06/2015 00:00,3226,591
346490,"Action, Indie","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Stats, Steam Leaderboards, Family Sharing","{'date': '28 May, 2015'}",1.0,1,1199,0,28/05/2015 00:00,3238,199
346810,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '4 Mar, 2015'}",0.0,3,599,0,04/03/2015 00:00,3323,1538
346830,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '11 May, 2015'}",0.0,1,1599,0,11/05/2015 00:00,3255,246
346850,"Action, Adventure, Free to Play, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud","{'date': '28 May, 2015'}",0.0,1,0,0,28/05/2015 00:00,3238,314
347040,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'date': '27 Mar, 2015'}",0.0,3,999,0,27/03/2015 00:00,3300,1246
347060,"Simulation, Sports","Single-player, Steam Cloud, Family Sharing","{'date': '14 Jan, 2016'}",0.0,1,1499,0,14/01/2016 00:00,3007,216
347160,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '1 Oct, 2015'}",1.0,4,1299,0,01/10/2015 00:00,3112,766
347730,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '29 Oct, 2015'}",0.0,1,799,0,29/10/2015 00:00,3084,321
346370,"Action, Indie","Multi-player, Steam Achievements, Partial Controller Support, Stats, Family Sharing","{'date': '2 Dec, 2015'}",1.0,4,0,0,02/12/2015 00:00,3050,23
