Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas,Precio
3510,13240,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '17 Mar, 2008'}",2008-03-17 00:00:00,5861,1.0,19,0
3511,1930,RPG,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '30 Apr, 2009'}",2009-04-30 00:00:00,5452,1.0,10,1499
3512,21660,Action,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Partial Controller Support, Remote Play Together","{'coming_soon': False, 'date': '7 Jul, 2009'}",2009-07-07 00:00:00,5384,1.0,0,0
3513,39690,RPG,"Single-player, Family Sharing","{'coming_soon': False, 'date': '15 Oct, 2010'}",2010-10-15 00:00:00,4919,0.0,2,1999
3514,78000,"Casual, Strategy","Single-player, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': '7 Dec, 2010'}",2010-12-07 00:00:00,4866,0.0,317,499
3515,55140,Racing,"Single-player, Multi-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '26 Nov, 2010'}",2010-11-26 00:00:00,4877,1.0,57,399
3516,40380,Racing,"Single-player, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '30 Nov, 2010'}",2010-11-30 00:00:00,4873,0.0,1,499
3517,92000,"Action, Adventure, Indie, Strategy","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '9 May, 2011'}",2011-05-09 00:00:00,4713,0.0,0,499
3518,46500,"Adventure, Casual","Single-player, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': '19 May, 2011'}",2011-05-19 00:00:00,4703,0.0,5,1299
3519,91700,"Action, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '29 Jul, 2011'}",2011-07-29 00:00:00,4632,1.0,12,999
