ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer
22310,Action,"Single-player, Multi-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '1 Dec, 2009'}",1.0
12480,Strategy,"Single-player, Family Sharing","{'coming_soon': False, 'date': '3 Dec, 2009'}",0.0
3730,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '15 Jan, 2010'}",1.0
3130,Strategy,"Single-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '1 Nov, 2009'}",0.0
24960,Action,"Single-player, Multi-player, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '2 Mar, 2010'}",1.0
32470,Strategy,"Single-player, Multi-player, PvP, Online PvP, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 May, 2010'}",1.0
42960,Strategy,"Single-player, Multi-player, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '30 Aug, 2010'}",1.0
39670,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '16 Jul, 2010'}",1.0
9010,Action,"Single-player, Multi-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '3 Aug, 2007'}",1.0
47780,"Action, Adventure","Single-player, Multi-player, Steam Trading Cards, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '25 Jan, 2011'}",1.0
73010,Simulation,"Single-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '22 Feb, 2011'}",0.0
73170,Strategy,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '8 Apr, 2011'}",1.0
21090,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '21 May, 2010'}",0.0
21110,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '21 May, 2010'}",0.0
39530,Action,Family Sharing,"{'coming_soon': False, 'date': '24 Jan, 2007'}",0.0
42890,Strategy,"Single-player, Multi-player, PvP, Online PvP, Family Sharing","{'coming_soon': False, 'date': '4 Jun, 2010'}",1.0
46540,"Action, Strategy","Single-player, Multi-player, Co-op, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '15 Jul, 2011'}",1.0
95900,"Action, Simulation","Single-player, Multi-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '30 Sep, 2011'}",1.0
55150,Action,"Single-player, Multi-player, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '5 Sep, 2011'}",1.0
35320,Racing,"Single-player, Multi-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '24 Jan, 2012'}",1.0
63940,Strategy,"Single-player, Multi-player, Co-op, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '8 Sep, 2011'}",1.0
70640,Strategy,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '19 Oct, 2011'}",1.0
200020,Action,"Single-player, Multi-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '26 Oct, 2011'}",1.0
203990,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '16 Dec, 2011'}",0.0
64000,Strategy,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Leaderboards, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '24 Feb, 2011'}",1.0
