Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas
728,274940,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, In-App Purchases, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '3 Nov, 2014'}",2014-11-03 00:00:00,3439,1.0,20
729,298110,"Action, Adventure","Single-player, Multi-player, Co-op, Partial Controller Support","{'coming_soon': False, 'date': 'Nov 2014'}",-1,2457,1.0,479
730,332950,"Action, Adventure, Indie, Free to Play","Single-player, Steam Achievements, Captions available, Steam Cloud","{'coming_soon': False, 'date': '26 Sep, 2018'}",2018-09-26 00:00:00,2016,0.0,154
731,349760,"Action, Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '24 Sep, 2015'}",2015-09-24 00:00:00,3114,0.0,1
732,355840,"Action, Free to Play, Massively Multiplayer, RPG, Early Access","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '2 Apr, 2015'}",2015-04-02 00:00:00,3289,1.0,0
733,361990,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '9 Apr, 2015'}",2015-04-09 00:00:00,3282,0.0,1
734,362890,"Action, Adventure, Indie","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Includes Source SDK, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': '6 Mar, 2020'}",2020-03-06 00:00:00,1489,1.0,361
735,368360,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 May, 2015'}",2015-05-25 00:00:00,3236,0.0,35
736,1012880,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Jul, 2019'}",2019-07-25 00:00:00,1714,0.0,192
737,386880,"Action, Adventure, Indie, Simulation","Single-player, Multi-player, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '13 Jul, 2015'}",2015-07-13 00:00:00,3187,1.0,0
738,401680,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '20 May, 2016'}",2016-05-20 00:00:00,2875,1.0,10
