ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas
1287840,"RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '21 Oct, 2021'}",1.0,75
34190,Racing,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '3 Mar, 2010'}",1.0,26
3330,Casual,"Single-player, Family Sharing","{'coming_soon': False, 'date': '30 Aug, 2006'}",0.0,650
280180,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Support, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '31 May, 2017'}",1.0,3
439350,"Action, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Family Sharing","{'coming_soon': False, 'date': '11 Nov, 2019'}",1.0,0
513510,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '4 Nov, 2016'}",1.0,3
529110,"Adventure, Indie, Free to Play","Single-player, Partial Controller Support, Commentary available","{'coming_soon': False, 'date': '21 Oct, 2016'}",0.0,1
542310,"Adventure, Free to Play, Indie",Single-player,"{'coming_soon': False, 'date': '13 Oct, 2016'}",0.0,1
589870,"Action, Adventure, Casual, Free to Play, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats","{'coming_soon': False, 'date': '12 May, 2017'}",0.0,142
624270,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '27 Sep, 2017'}",0.0,24
637850,"Adventure, Free to Play, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support","{'coming_soon': False, 'date': '27 May, 2017'}",0.0,2
659190,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'coming_soon': False, 'date': '10 Nov, 2017'}",0.0,1
696140,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '2 Oct, 2017'}",1.0,0
715220,"Action, Free to Play","Multi-player, PvP, Online PvP, In-App Purchases, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '18 Dec, 2019'}",1.0,1
809870,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '4 Sep, 2018'}",1.0,0
813630,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '5 Apr, 2019'}",0.0,59
553660,"Action, Casual, Free to Play, Indie","Multi-player, PvP, Online PvP, Partial Controller Support","{'coming_soon': False, 'date': '6 Apr, 2018'}",1.0,3
885640,"Indie, Simulation, Free to Play","Single-player, Steam Achievements","{'coming_soon': False, 'date': '13 Jul, 2018'}",0.0,0
908050,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '16 Jul, 2019'}",1.0,0
519860,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '10 Dec, 2018'}",1.0,75
1028570,Indie,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together","{'coming_soon': False, 'date': '12 Mar, 2019'}",1.0,1
1037130,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Mar, 2021'}",0.0,4
1086410,"Casual, Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '4 Dec, 2020'}",1.0,2
1105620,"Action, Casual, Indie","Single-player, Steam Achievements, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '26 Aug, 2019'}",0.0,0
