ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados
666330,"Action, Casual, Indie","Single-player, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '1 Dec, 2017'}",0,0,99,0,,01/12/2017 00:00,2320
293840,"Action, Indie","Multi-player, Cross-Platform Multiplayer, Steam Workshop, Partial Controller Support, Includes level editor, Family Sharing","{'date': '30 Jun, 2014'}",1,0,999,0,,30/06/2014 00:00,3570
300760,"Action, Indie, Strategy, Early Access","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '1 Oct, 2015'}",0,0,0,0,,01/10/2015 00:00,3112
362610,"Indie, Racing","Single-player, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '25 May, 2015'}",0,0,399,0,,25/05/2015 00:00,3241
388420,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '21 Aug, 2015'}",0,1,119,0,,21/08/2015 00:00,3153
424830,"Action, Indie, Free to Play","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together","{'date': '18 Mar, 2016'}",1,0,0,0,,18/03/2016 00:00,2943
453980,"Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '23 Mar, 2016'}",0,0,199,0,,23/03/2016 00:00,2938
1240290,"Action, Free to Play, Indie, Massively Multiplayer","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases","{'date': '4 Mar, 2020'}",1,2,0,1,,04/03/2020 00:00,1496
1131080,"Action, Casual, Indie, Strategy, Free to Play","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Steam Cloud, Stats, Steam Leaderboards","{'date': '7 May, 2021'}",1,8,0,1,,07/05/2021 00:00,1067
338060,Casual,"Single-player, Steam Trading Cards, Family Sharing","{'date': '21 Jan, 2015'}",0,0,1499,0,,21/01/2015 00:00,3365
429680,"Free to Play, Indie, Massively Multiplayer, Strategy","Single-player, Multi-player, MMO, Steam Achievements, Steam Trading Cards","{'date': '1 Feb, 2016'}",1,3,0,0,,01/02/2016 00:00,2989
648580,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '4 Sep, 2018'}",0,7,4999,0,,04/09/2018 00:00,2043
570780,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '7 Sep, 2017'}",0,9,1199,0,,07/09/2017 00:00,2405
1111450,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing","{'date': '29 Aug, 2019'}",0,0,299,0,,29/08/2019 00:00,1684
22130,Strategy,"Single-player, Multi-player, Family Sharing","{'date': '23 Jan, 2009'}",1,81,1499,0,,23/01/2009 00:00,5554
404530,"Action, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Workshop, Partial Controller Support, Family Sharing","{'date': '13 Sep, 2017'}",1,1,799,0,,13/09/2017 00:00,2399
1106840,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing","{'date': '8 May, 2020'}",1,546,1499,0,,08/05/2020 00:00,1431
2530670,"Action, Indie, Simulation, Free to Play","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support","{'date': '14 Sep, 2023'}",1,41,0,0,,14/09/2023 00:00,207
1008210,"Adventure, Casual, Indie, RPG, Simulation, Free to Play","Single-player, Steam Achievements, Steam Cloud","{'date': '30 Mar, 2020'}",0,1,0,0,,30/03/2020 00:00,1470
1568940,"Casual, Indie, RPG, Strategy, Free to Play","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards","{'date': '15 Sep, 2021'}",0,2,0,0,,15/09/2021 00:00,936
2624740,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '4 Nov, 2023'}",0,4,0,0,,04/11/2023 00:00,156
1497640,"Casual, Free to Play, Indie, Strategy","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Steam Cloud","{'date': '14 Sep, 2022'}",1,5,0,1,,14/09/2022 00:00,572
381870,Indie,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing","{'date': '22 Jun, 2015'}",1,1,99,0,,22/06/2015 00:00,3213
453670,Indie,"Single-player, Steam Trading Cards, Family Sharing","{'date': '11 Apr, 2016'}",0,0,99,0,,11/04/2016 00:00,2919
473140,"Action, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Family Sharing","{'date': '10 Jun, 2016'}",0,0,99,0,,10/06/2016 00:00,2859
529240,"Action, Casual, Indie, Early Access","Single-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'date': '28 Apr, 2017'}",0,3,199,0,,28/04/2017 00:00,2537
562730,"Action, Adventure, Casual, Indie, Sports, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '3 Mar, 2020'}",0,0,99,0,,03/03/2020 00:00,1497
604780,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '14 Mar, 2017'}",0,0,199,0,,14/03/2017 00:00,2582
606860,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '14 Mar, 2017'}",0,0,99,0,,14/03/2017 00:00,2582
610730,"Action, Adventure, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play Together, Family Sharing","{'date': '17 Aug, 2020'}",1,0,99,0,,17/08/2020 00:00,1330
628950,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '24 Apr, 2017'}",0,1,99,0,,24/04/2017 00:00,2541
634340,"Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '19 Mar, 2018'}",0,1,99,1,,19/03/2018 00:00,2212
