ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased
340490,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '21 Jan, 2016'}",0.0,8,1699,0
340570,"Casual, Indie, Simulation, Strategy, Early Access","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing","{'date': '2 Jan, 2015'}",1.0,0,299,0
340580,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '1 Jun, 2017'}",1.0,2,249,0
340720,"Adventure, Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '30 Jan, 2015'}",0.0,0,699,0
340860,"Action, Indie, Simulation","Single-player, VR Supported, Steam Trading Cards, VR Support, Partial Controller Support, Family Sharing","{'date': '1 Jun, 2015'}",0.0,0,1999,0
341270,"Indie, RPG, Early Access","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '18 Mar, 2016'}",0.0,0,499,0
341380,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing","{'date': '9 Jan, 2015'}",0.0,0,99,0
341470,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '23 Jan, 2015'}",0.0,0,699,0
341530,"Action, Casual, Indie","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing","{'date': '30 Jan, 2015'}",1.0,0,399,0
341690,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '25 Feb, 2015'}",0.0,0,299,0
340750,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '14 Jan, 2015'}",1.0,0,899,0
341780,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '16 Jan, 2015'}",0.0,0,0,0
341870,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","{'date': '21 Jul, 2015'}",0.0,1,1499,0
341950,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '1 May, 2015'}",1.0,17,499,0
342100,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing","{'date': '7 May, 2015'}",0.0,0,799,0
342130,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Includes level editor, Family Sharing","{'date': '1 Jun, 2016'}",0.0,0,0,0
342350,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '7 Apr, 2015'}",0.0,0,299,0
342360,"Adventure, Casual, Indie, Simulation","Single-player, Steam Trading Cards, Family Sharing","{'date': '13 Jan, 2015'}",0.0,0,999,0
342450,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '13 Feb, 2015'}",0.0,0,124,0
342500,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '21 Jan, 2015'}",0.0,0,1999,0
342510,"Casual, Indie, RPG","Single-player, Steam Trading Cards, Family Sharing","{'date': '29 Jan, 2015'}",0.0,0,499,0
342890,"Casual, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Family Sharing","{'date': '5 Mar, 2015'}",1.0,0,199,0
343020,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '30 Jan, 2015'}",0.0,0,799,0
343280,"Action, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '24 Jul, 2015'}",0.0,0,1299,0
343340,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '29 May, 2015'}",0.0,0,199,0
343390,Casual,"Single-player, Steam Trading Cards, Family Sharing","{'date': '16 Apr, 2015'}",0.0,0,199,0
240620,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '10 Aug, 2015'}",1.0,0,999,0
342490,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '13 Feb, 2015'}",0.0,0,0,0
343930,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '22 May, 2015'}",0.0,0,899,0
340250,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Family Sharing","{'date': '11 Aug, 2015'}",0.0,0,799,0
344440,"Adventure, Casual","Single-player, Steam Trading Cards, Family Sharing","{'date': '2 Jul, 2015'}",0.0,2,299,0
344500,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '20 Mar, 2015'}",0.0,0,499,0
344630,Adventure,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '27 Mar, 2015'}",0.0,0,3499,0
344840,"Indie, Simulation, Strategy","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing","{'date': '16 Apr, 2015'}",1.0,1,999,0
344880,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '13 Mar, 2015'}",1.0,0,0,0
345090,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '3 Feb, 2015'}",0.0,5,499,0
345340,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'date': '29 Apr, 2015'}",0.0,0,599,0
345750,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '18 Feb, 2015'}",0.0,0,499,0
345640,"Adventure, RPG","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '24 Feb, 2015'}",1.0,0,499,0
346090,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '17 Sep, 2015'}",0.0,0,1199,0
346140,"Adventure, Casual","Single-player, Steam Trading Cards, Family Sharing","{'date': '26 Feb, 2015'}",0.0,10,999,0
346180,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Family Sharing","{'date': '16 Feb, 2015'}",0.0,0,59,0
