ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas
428100,"Action, Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,89,0,
429580,Adventure,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,299,0,
430170,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,999,0,
427980,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,499,0,
416040,"Action, Free to Play, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards",,1,0,0,0,
444460,"Action, Indie, Strategy, Early Access","Single-player, Steam Trading Cards, Family Sharing",,0,0,0,0,
402150,Casual,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing",,0,0,899,0,
449250,"Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",,0,1,1499,0,
452510,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",,1,0,2999,0,
460160,"Adventure, Casual","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,299,0,
462990,"Adventure, Casual, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",,0,2,1999,0,
464490,"Adventure, Casual","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,1,899,0,
483960,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,1199,0,
490390,Adventure,"Single-player, Steam Trading Cards, Family Sharing",,0,1,999,0,
496630,"Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,299,0,
449830,,,,,0,3499,0,
593200,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,399,0,
1170820,"Adventure, Free to Play","Single-player, Steam Achievements",,0,1,0,0,
6800,Action,"Single-player, Multi-player, Co-op, Family Sharing",,1,93,499,0,
6810,Action,"Single-player, Multi-player, Co-op, Family Sharing",,1,17,499,0,
225300,"Action, Adventure","Single-player, Family Sharing",,0,12,699,0,
224300,"Action, Adventure","Single-player, Family Sharing",,0,4,699,0,
240600,"Racing, Simulation, Sports","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,1,3,999,0,
303800,"Adventure, Strategy","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Leaderboards, Remote Play Together, Family Sharing",,1,10,149,0,
303830,Racing,"Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",,1,0,999,0,
377450,"Adventure, Casual","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,0,999,0,
539300,Casual,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",,0,13,999,0,
558780,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,2,699,0,
582810,"Action, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing",,1,1,999,0,
662190,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,2,374,0,
765870,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,34,299,0,
1985820,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, In-App Purchases",,1,112,5999,1,
1546970,"Action, Adventure","Single-player, Full controller support, Family Sharing",,0,52,5999,0,
2306740,Action,"Single-player, Full controller support, Family Sharing",,0,1,5999,0,
61520,"RPG, Strategy","Single-player, Multi-player, Family Sharing",,1,26,999,0,
298050,Strategy,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",,1,444,2499,0,
360950,,,,,0,2999,0,
21760,Strategy,"Single-player, Multi-player, Family Sharing",,1,0,0,0,
21910,Strategy,"Single-player, Multi-player, Family Sharing",,1,8,0,0,
25980,"Simulation, Strategy","Single-player, Family Sharing",,0,27,999,0,
23450,"Simulation, Strategy","Single-player, Family Sharing",,0,9,999,0,
48210,,,,,6,1999,0,
207890,,,,,232,0,0,
224740,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,0,0,
227680,,,,,0,999,0,
18490,,,,,0,0,0,
232810,"Indie, Simulation, Strategy, Early Access","Single-player, Commentary available, Family Sharing",,0,3,0,0,
252250,"Indie, Simulation, Strategy","Single-player, Partial Controller Support, Family Sharing",,0,0,2499,0,
256050,,,,,0,1999,0,
227020,"Simulation, Strategy","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,1,8,1999,0,
291930,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing",,0,6,1199,0,
310470,"Simulation, Strategy","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Remote Play on TV, Family Sharing",,1,14,1999,0,
289930,"Casual, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,29,2499,0,
334310,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing",,0,8,1999,0,
326410,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,1,12,999,0,
341030,"Indie, Simulation, Strategy","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Remote Play Together, Family Sharing",,1,2,999,0,
344850,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,19,2499,0,
667610,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Workshop, Family Sharing",,0,196,1999,0,
736820,"Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,1,454,4499,0,
773790,"Indie, Simulation, Strategy, Early Access","Single-player, Steam Cloud, Family Sharing",,0,326,2499,0,
911430,"Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,1,30,2499,0,
954870,"Action, Adventure, Indie, RPG, Simulation, Early Access","Single-player, Steam Achievements, Stats, Family Sharing",,0,18,1499,0,
987840,"RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,227,4499,0,
1083300,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Family Sharing",,0,0,1499,0,
1099410,"Action, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Workshop, Family Sharing",,1,216,4999,0,
1123830,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,102,1999,0,
1157220,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",,0,26,1999,0,
1158420,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",,0,14,2499,0,
1176470,"Simulation, Strategy, Early Access","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",,0,551,3999,0,
1182110,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Family Sharing",,0,162,1999,0,
1287530,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,39,2499,0,
840390,"Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,1,1,3999,0,
1336180,"Simulation, Strategy","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",,0,9,1999,0,
1380910,"Indie, RPG, Simulation, Strategy, Early Access","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing",,0,45,2999,0,
1471040,Simulation,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,5,2499,0,
