ID del juego,Géneros,Categorías
350070,"Action, Adventure, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing"
346510,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
350740,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing"
350970,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing"
351050,"Simulation, Sports","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Family Sharing"
351060,"Adventure, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing"
351090,Casual,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
351240,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
351250,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing"
351450,"Action, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support, Steam Cloud, Family Sharing"
352080,,
325060,Indie,"Single-player, Steam Achievements, Full controller support, Family Sharing"
352120,"Action, Simulation","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing"
352130,"Indie, Strategy","Single-player, Steam Trading Cards, Family Sharing"
352140,"Casual, Simulation, Strategy","Single-player, Steam Trading Cards, Family Sharing"
352190,Strategy,"Single-player, Multi-player, Shared/Split Screen, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing"
352440,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
352580,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Family Sharing"
347440,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, VR Support, Steam Cloud, Remote Play on TV, Family Sharing"
352610,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
352900,"Action, Indie, Racing","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Remote Play Together, Family Sharing"
353090,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing"
358360,Action,"Single-player, Partial Controller Support, Family Sharing"
353600,"Adventure, Indie, RPG","Single-player, Family Sharing"
310810,"Action, Adventure","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing"
353980,Adventure,"Single-player, Steam Trading Cards, Family Sharing"
353990,"Action, Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing"
354030,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing"
351480,"Indie, RPG, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play Together, Family Sharing"
354230,"Indie, Strategy","Single-player, Multi-player, Steam Achievements, Family Sharing"
354310,"Casual, Strategy","Single-player, Steam Trading Cards, Family Sharing"
354400,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Includes level editor, Commentary available, Family Sharing"
354620,"Action, Casual, Indie","Multi-player, Shared/Split Screen, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing"
354730,"Casual, RPG","Single-player, Full controller support, Family Sharing"
354740,"Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing"
354930,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing"
355080,"Action, Casual, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together"
355240,"Action, Indie","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
355350,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
355530,"Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing"
355560,"Action, Adventure, Indie, Racing","Single-player, Family Sharing"
355760,"Adventure, Casual, Indie","Single-player, Full controller support, Steam Trading Cards, Family Sharing"
355810,"Action, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
355860,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, VR Support, Steam Cloud, Family Sharing"
355910,"Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Family Sharing"
328650,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing"
356390,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing"
352620,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing"
356530,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
356730,"Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
357120,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
357370,Indie,"Single-player, Steam Trading Cards"
357490,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Commentary available, Family Sharing"
357720,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing"
357830,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together"
357890,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Leaderboards, Remote Play Together, Family Sharing"
358030,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
234920,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
358130,"Indie, RPG, Strategy","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing"
358480,,
358650,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing"
358830,"Action, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Steam Leaderboards, Family Sharing"
358960,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing"
359100,"Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, VR Support, Steam Cloud, Remote Play on TV, Family Sharing"
359140,"Action, Adventure, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Family Sharing"
359250,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
359260,"Adventure, Casual, Indie","Single-player, Steam Trading Cards, Family Sharing"
359280,"Action, Adventure, RPG","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing"
359300,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Family Sharing"
348300,"Action, Adventure, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing"
359670,"Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
360030,"Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing"
360040,"Casual, Indie, RPG","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing"
360450,"Action, Indie, Simulation","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together, Family Sharing"
361200,"Adventure, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
361600,"Action, Adventure, Indie","Single-player, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
361830,"Action, Indie","Single-player, Steam Trading Cards, Family Sharing"
361890,Strategy,"Single-player, Steam Trading Cards, Family Sharing"
362130,"Adventure, Casual, Indie, RPG","Single-player, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
362140,"Adventure, Casual, Indie, RPG","Single-player, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
362290,"Adventure, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play Together, Family Sharing"
