ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados,Minutos jugadas Totales
816180,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing","{'date': '26 Apr, 2018'}",0.0,0,99,0,,26/04/2018 00:00,2174,4
1421230,Adventure,"Single-player, Full controller support, Family Sharing","{'date': '8 Oct, 2020'}",0.0,0,0,0,,08/10/2020 00:00,1278,65
1449690,Adventure,"Single-player, Steam Achievements, Full controller support, Family Sharing","{'date': '29 Oct, 2020'}",0.0,616,4999,0,,29/10/2020 00:00,1257,12227
320240,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '10 Aug, 2018'}",0.0,92,5999,0,,10/08/2018 00:00,2068,11149
914620,"Action, Adventure, Indie, Simulation, Early Access","Single-player, Family Sharing","{'date': '14 Aug, 2018'}",0.0,137,1099,0,,14/08/2018 00:00,2064,6803
1743830,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '20 Jul, 2023'}",1.0,8,2499,0,,20/07/2023 00:00,263,5117
40400,"Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '21 Oct, 2009'}",1.0,2,999,0,,21/10/2009 00:00,5283,3362
65560,Action,"Single-player, Family Sharing","{'date': '25 Feb, 2011'}",0.0,0,499,0,,25/02/2011 00:00,4791,67
729460,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","{'date': '2 Nov, 2017'}",0.0,1,28,0,,02/11/2017 00:00,2349,1
802200,"Action, Indie, Free to Play","Single-player, Full controller support, Steam Cloud, Steam Leaderboards","{'date': '22 Nov, 2019'}",0.0,2,0,0,,22/11/2019 00:00,1599,243
321400,"Action, Casual, Free to Play, Indie, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats","{'date': '8 Feb, 2019'}",1.0,1,0,1,,08/02/2019 00:00,1886,8590
703940,Sports,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing","{'date': '8 Sep, 2017'}",1.0,1,49,0,,08/09/2017 00:00,2404,762
822240,"Adventure, Free to Play, Massively Multiplayer, Simulation, Early Access","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases","{'date': '11 Dec, 2018'}",1.0,158,0,1,,11/12/2018 00:00,1945,1530
2237980,"Adventure, Casual, Indie",Single-player,"{'date': '17 Dec, 2022'}",0.0,5,0,0,,17/12/2022 00:00,478,126
298520,"Action, Indie, Simulation, Free to Play","Single-player, Multi-player, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together","{'date': '7 Aug, 2014'}",1.0,0,0,0,,07/08/2014 00:00,3532,3050
1238000,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards","{'date': '11 Jun, 2020'}",1.0,684,3999,0,,11/06/2020 00:00,1397,10845
215550,"Violent, Gore, Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Family Sharing","{'date': '31 Oct, 2016'}",1.0,0,999,0,,31/10/2016 00:00,2716,1129
251270,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '25 Apr, 2016'}",0.0,5,1499,0,,25/04/2016 00:00,2905,287
252610,"Action, Indie, RPG","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '21 Jul, 2016'}",1.0,95,374,0,,21/07/2016 00:00,2818,3569
253250,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Trading Cards, Steam Workshop, Remote Play Together, Family Sharing","{'date': '25 Jul, 2018'}",1.0,113,1999,0,,25/07/2018 00:00,2084,13095
264260,"Violent, Action, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'date': '11 Aug, 2014'}",0.0,0,0,0,,11/08/2014 00:00,3528,473
269770,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '29 Feb, 2024'}",1.0,380,1499,0,,29/02/2024 00:00,39,12805
270410,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '15 Apr, 2016'}",0.0,0,0,0,,15/04/2016 00:00,2915,790
