ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados
1191120,"Adventure, Casual, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,47,1499,0,-1,1398
2196420,"Adventure, Casual, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,1,0,0,-1,1398
612230,"Action, Free to Play, Massively Multiplayer","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases",,1,5,0,1,-1,1398
1675970,Strategy,"Single-player, Family Sharing",,0,0,0,0,-1,1398
246070,"Adventure, Casual, Indie","Single-player, Full controller support, Steam Workshop, Family Sharing",,0,1,1337,0,-1,1398
852480,Casual,"Single-player, Steam Achievements, Partial Controller Support, Family Sharing",,0,8,999,0,-1,1398
22140,"Adventure, Indie","Single-player, Captions available, Family Sharing",,0,2,0,0,-1,1398
846110,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '17 May, 2018'}",0,20,1499,0,17/05/2018 00:00,2153
881690,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,1,999,0,-1,1398
936490,"Action, Indie, Simulation, Strategy","Single-player, Steam Achievements, Family Sharing",,0,1,1999,0,-1,1398
405780,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards",,0,1,0,0,-1,1398
1560250,"Action, Casual, Simulation, Strategy, Early Access","Single-player, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing",,0,71,1499,0,-1,1398
1847990,"Action, Adventure, Casual, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,244,0,-1,1398
409000,RPG,"Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,1,1,999,0,-1,1398
511740,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,4,2999,0,-1,1398
