ID del juego,Repeticiones,Minutos Totales
1818750,195,81112
33230,44,63146
223750,75,85726
261550,93,647938
297000,42,42126
302510,59,34056
362300,16,1603
511440,2,281
611790,24,13700
368070,23,22090
667530,78,14448
582160,86,179466
842180,3,2255
515180,17,13900
1136160,8,2409
1332720,4,2354
1431610,19,914
1433140,8,12820
1692070,16,8094
1888930,18,16076
466910,41,12199
871720,98,14338
967050,108,22010
1104450,33,7688
1400520,3,234
17700,22,9056
225840,169,91748
349040,89,144247
619910,40,2990
632730,1,13
44350,163,339449
242700,79,15334
1943950,58,30775
300,111,24548
8400,2,147
4760,26,56068
7940,30,55299
320,93,16275
12900,18,21440
13210,8,2311
18400,4,1288
17330,11,2084
17340,7,339
11280,12,1811
2100,14,2952
2130,8,1055
13520,9,1611
15130,3,1726
26800,12,2195
3590,90,109395
35700,44,11413
15520,3,239
24860,6,2374
10180,77,69599
10190,78,699266
20540,6,27455
40100,24,43130
20820,4,649
49900,5,1164
22600,13,12708
62100,2,15
31280,35,6419
41010,29,24234
40800,88,27237
38720,13,1335
48950,4,297
29180,7,556
40700,11,2170
93200,5,308
31410,1,98
37000,5,413
50510,3,66
9500,5,91
18700,7,220
38900,1,5
49600,10,3801
58400,2,9
63700,3,284
80000,1,111
92800,34,5997
22350,35,14138
12840,11,31743
49470,3,2342
61100,3,391
26500,8,619
111800,7,841
41070,84,77202
207650,9,843
41500,13,4627
8930,170,1081624
223830,5,5095
4920,31,17640
210770,65,29974
233250,34,18090
214560,43,16467
860950,14,4407
207140,107,74460
42910,97,57860
221910,48,9166
261180,31,7251
264140,14,7346
94400,13,2394
281990,115,834819
246620,117,90815
282760,5,825
238460,148,83937
237930,33,9094
239430,8,303
312530,52,44016
265890,5,399
8870,134,104353
409710,88,46743
383870,50,20174
367580,15,1937
391540,84,42718
245170,50,36150
440650,4,72
205230,22,6024
204300,80,186495
466560,58,73933
397060,15,10071
595280,5,2229
271240,25,4942
493900,16,15126
1271140,2,1007
1124300,17,20027
630,140,39711
17730,5,183
32430,27,7668
32500,18,7007
348710,8,7994
1063730,135,1172553
1364390,29,3515
1582620,8,5127
495140,11,5785
30,52,178515
40,29,60171
60,41,59500
6030,10,2571
10500,46,150850
34030,35,100191
90200,3,2674
72200,12,6639
65780,4,2035
251950,15,1091
261490,6,480
302670,40,20998
314160,19,36436
361670,2,290
214950,58,244711
394360,146,2762023
909080,15,1480
34330,90,244913
1474700,50,9669
1621560,1,377
1874880,11,12397
1890860,2,1295
224600,63,79494
33250,2,1438
285330,9,2091
304030,20,64710
681660,9,4981
968970,1,2943
15100,26,13431
17450,14,18557
47730,2,2
201870,26,25548
263500,24,6069
202090,80,10062
260210,3,1038
277590,10,2137
222900,104,13406
289650,73,87193
311560,23,21356
899770,31,179784
1549250,16,12497
2064650,28,184388
20920,170,138350
8980,60,118750
729040,27,20271
32800,29,15037
49520,331,971978
204360,188,116382
200170,62,31175
209870,63,27703
239220,31,14660
263540,15,1609
368730,27,3908
